PDB,dsx,glideSP,glideXP,rf_score,vina,MMGbsa,HMScore,HPScore,HSScore,average
4tln,-57.341,-3.76,-5.33,-7.3824597955,-5.02869,-30.68827197,-7.142618958,-6.68670711,-6.866308747,-6.893939768
4tmn,-159.642,-6.12,-6.87,-8.392798795,-8.67913,-22.7106899,-10.96951538,-10.05769169,-10.19584679,-10.40307945
1fh7,-101.078,-8.25,-14.27,-7.4976835043,-7.13129,-73.33227918,-8.137335719,-7.626161828,-7.570899786,-7.778132444
1fh8,-108.16,-7.85,-11.25,-7.5197405555,-7.0902,-67.68546622,-8.151151229,-7.612346317,-7.529453254,-7.764316934
1fh9,-104.385,-6.76,-11.31,-6.8984919634,-8.11814,-92.42376007,-8.316937356,-7.833394486,-7.736685912,-7.957734081
1d09,-81.064,-8.01,-9.87,-7.4402707241,-7.09793,-57.41923902,-7.791947955,-7.336036106,-7.336036106,-7.488006722
2fzc,-59.121,-4.56,-8.73,-7.7520840107,-5.37196,-61.86754967,-7.308405085,-6.880124258,-6.68670711,-6.963017321
2h3e,-96.135,-7.96,-10.53,-7.1711438253,-7.49628,-49.45604005,-8.040627145,-7.515637744,-7.557084275,-7.709054891
2ctc,-68.804,-8.12,-8.73,-7.0706547231,-4.75105,-32.98814077,-7.515637744,-7.474191212,-7.294589575,-7.43274468
7cpa,-162.787,-6.58,-8.13,-9.5937994726,-7.71343,-78.76038524,-11.9089701,-10.37544843,-10.22347781,-10.83136028
8cpa,-133.43,-3.8,-4.59,-8.6960654913,-6.65992,-13.59693347,-10.45834149,-9.090605947,-9.132052479,-9.560333306
1b39,-126.367,-7.32,-14.58,-7.4844438971,-6.5096,-47.13090337,-9.062974926,-8.551801035,-8.399830419,-8.67614063
1e1v,-93.781,-6.99,-7.71,-6.8379825429,-6.48856,-50.10096351,-7.308405085,-7.584715296,-7.764316934,-7.557084275
1pxo,-68.952,-8.89,-9.45,-6.4401960311,-6.08506,-64.22331473,-7.722870402,-7.391298149,-7.391298149,-7.501822233
1BCU,-80.094,-6.47,-4.39,-8.5764363275,-7.34364,3.477562335,-7.639977339,-7.543268765,-7.833394486,-7.66760836
1SL3,-187.62,-11.77,-12.93,-10.857190112,-10.5618,-105.9129561,-10.40307945,-10.11295373,-10.19584679,-10.23729332
1VZQ,-172.523,-10.48,-10.58,-11.6453610706,-10.84226,-89.2759997,-9.947167602,-9.739934943,-9.726119433,-9.809012496
1NVQ,-175.766,-11.42,-12.5,-9.6131635555,-12.53099,-112.8146289,-11.70173744,-10.78991375,-10.29255537,-10.92806885
2BRB,-116.305,-6.93,-8.27,-9.7124756703,-8.14838,-78.00285357,-9.380731669,-8.883373289,-8.620878588,-8.966266352
2BRM,-114.892,-9.09,-9.24,-9.969179778,-8.47326,-83.14392828,-9.505071264,-9.007712884,-8.759033694,-9.090605947
1JQD,-160.346,-9.9,-12.03,-8.2791141721,-8.46691,-90.43748452,-8.731402673,-8.537985525,-8.399830419,-8.565616546
2AOU,-117.26,-7.93,-5.56,-9.9057459544,-9.6186,-62.17095749,-10.63794313,-9.850459028,-9.726119433,-10.0715072
2AOV,-76.13,-8.95,-7.83,-8.6820807079,-10.23843,-74.46402629,-9.836643517,-9.062974926,-8.952450842,-9.284023095
1PB9,-56.69,-7.91,-9.08,-7.815780263,-4.90651,-52.12711175,-6.990648342,-6.493289962,-6.465658941,-6.645260578
1PBQ,-78.105,-9.18,-8.09,-7.2031383298,-7.74571,-70.26401726,-8.938635331,-7.91628755,-8.054442655,-8.303121845
1Y1M,-70.723,-7.25,-8.43,-7.4579308126,-5.85725,-42.30856716,-7.778132444,-7.18406549,-7.377482638,-7.446560191
1B8O,-108.13,-10.43,-13.94,-10.8568096248,-8.38505,-102.2640103,-9.090605947,-8.42746144,-8.316937356,-8.607063078
1VFN,-58.091,-8.31,-7.2,-6.3581229363,-5.98293,-43.3911589,-6.990648342,-6.617629557,-6.534736494,-6.714338131
1FTM,-92.433,-8.27,-7.1,-8.9960350333,-7.30018,-76.86623861,-8.344568377,-7.971549592,-7.971549592,-8.095889187
1P1Q,-88.204,-7.94,-9.23,-8.767530732,-7.30246,-75.07606865,-8.234044293,-7.847209997,-7.847209997,-7.971549592
1SYH,-117.035,-10.53,-11.62,-8.8319472604,-9.26436,-95.30637952,-8.993897373,-8.565616546,-8.537985525,-8.703771652
1FCX,-184.697,-16.26,-19.35,-11.9265988021,-15.57873,-156.1792262,-13.98129668,-13.37341422,-11.60502887,-12.98657992
1FCZ,-170.433,-15.73,-18.76,-11.3651407512,-14.60515,-153.9307897,-13.44249177,-13.06947299,-11.53595132,-12.68263869
1FD0,-184.189,-16.39,-19.61,-11.2672284296,-16.03525,-151.2103694,-14.36813098,-13.69117096,-11.95041663,-13.33196769
1F4E,-73.11,-6.64,-4.92,-8.6537589381,-6.5472,-37.1671602,-8.220228782,-7.639977339,-7.847209997,-7.902472039
1F4F,-110.396,-9.02,-7.52,-8.3973707979,-8.32736,-64.7228735,-9.228761053,-8.786664715,-8.275490824,-8.759033694
1F4G,-153.448,-9.51,-9.57,-8.3420163787,-9.07296,-93.7506077,-9.753750454,-9.40836269,-8.883373289,-9.339285137
1F5K,-66.442,-8.99,-7.39,-6.452526772,-5.20772,-41.3245422,-6.880124258,-6.852493237,-7.156434469,-6.963017321
1O3P,-126.003,-8.83,-8.38,-9.1164445955,-9.0474,-13.3961029,-8.66232512,-8.703771652,-9.242576563,-8.869557778
1SQA,-136.38,-9.07,-9.06,-10.418330321,-7.41353,-46.3683178,-9.132052479,-8.92481982,-9.353100648,-9.132052479
2AYR,-187.922,-13.13,-13.88,-10.6321632203,-12.16862,-151.2134178,-13.05565748,-12.59974563,-11.03859294,-12.22672684
2B1V,-113.004,-10.07,-10.85,-11.5266165921,-9.42003,-104.536709,-9.297838606,-9.394547179,-8.620878588,-9.104421458
2FAI,-121.45,-9.76,-10.03,-11.926407863,-9.81689,-109.1197229,-9.65704188,-9.574148817,-8.952450842,-9.394547179
1AVN,-17.975,-5.86,-3.26,-7.8916194458,-2.68785,-20.55480964,-5.913038519,-5.650543818,-5.553835244,-5.70580586
1IF7,-81.53,-5.53,-5.23,-9.415263691,-5.32272,-52.91086414,-9.1596835,-7.764316934,-7.861025507,-8.261675314
1TTM,-64.038,-5.24,-5.11,-8.7749056935,-6.13409,-67.18543773,-8.66232512,-7.41892917,-7.322220596,-7.791947955
1MQ6,-177.803,-8.16,-6.88,-9.8949301622,-8.96448,-92.57842952,-10.65175864,-9.670857391,-9.947167602,-10.08532271
1NFY,-144.728,-8.81,-9.53,-10.9440460288,-9.6191,-67.02650437,-10.15440026,-9.781381475,-9.560333306,-9.836643517
2BOK,-154.347,-12.12,-15.99,-10.0585688086,-8.39708,-90.81513628,-8.745218183,-8.869557778,-9.035343905,-8.883373289
1HFS,-281.932,-13.63,-13.08,-10.9525361973,-9.94995,-114.4236683,-13.71880198,-12.87605584,-12.47540603,-13.02802646
2D1O,-184.226,-11.68,-15.8,-10.141945676,-7.10857,-107.5056883,-10.11295373,-9.726119433,-9.201130032,-9.684672901
2USN,-108.785,-6.8,-6.92,-9.8036078684,-6.732,-62.62356197,-9.463624732,-8.358383888,-8.040627145,-8.620878588
2B7D,-150.261,-9.14,-10.28,-11.1792017646,-8.64509,-47.54325164,-10.52741905,-9.491255753,-9.339285137,-9.781381475
2BZ6,-147.941,-10.31,-12.54,-9.8892963616,-8.0551,-76.0186827,-8.993897373,-8.800480225,-9.007712884,-8.92481982
2FLB,-109.325,-7.57,-6.31,-9.2980579115,-7.83071,-20.7496485,-8.537985525,-8.565616546,-8.952450842,-8.689956141
1LOL,-88.407,-9.55,-9.42,-6.4509525639,-6.67604,-53.12756855,-7.543268765,-7.156434469,-7.018279363,-7.239327532
1LOQ,-96.257,-10.24,-13.14,-6.7956059317,-7.19066,-50.74011678,-8.717587162,-8.054442655,-8.040627145,-8.275490824
1X1Z,-96.167,-9.52,-12.65,-6.8935334941,-7.40617,-52.15031776,-8.883373289,-8.17878225,-8.17878225,-8.41364593
1KV5,-44.791,-7.87,-6.39,-5.5407236068,-2.92901,-23.17131768,-7.004463853,-6.479474452,-6.424212409,-6.631445068
1TRD,-66.698,-6.81,-6.96,-6.9930228339,-5.06173,-45.51001071,-7.43274468,-6.824862216,-6.811046705,-7.018279363
4TIM,-52.847,-8.05,-7.63,-5.7570550586,-3.88129,-24.49344626,-7.225512022,-6.755784663,-6.672891599,-6.880124258
1BRA,-60.794,-7.78,-6.94,-6.2878884731,-4.06883,-36.00079112,-6.852493237,-6.755784663,-7.073541406,-6.893939768
1J16,-69.288,-7.41,-6.6,-6.381947539,-5.21943,-40.62667487,-7.004463853,-7.004463853,-7.280774064,-7.101172427
1J17,-166.077,-7.33,-5.11,-8.7480825333,-10.71152,-54.44060862,-9.809012496,-9.753750454,-9.753750454,-9.781381475
1O3F,-114.298,-8.58,-7.71,-7.702240455,-8.66683,-12.00788628,-8.814295736,-8.786664715,-9.104421458,-8.897188799
1UTP,-67.308,-6.29,-5.88,-6.5382886152,-3.74153,-23.95319293,-6.451843431,-6.603814047,-6.963017321,-6.672891599
1V2O,-125.161,-9.17,-11,-9.2098487372,-6.63248,-63.33965751,-8.67614063,-8.275490824,-8.372199398,-8.441276951
1JYS,-53.044,-6.9,-6.01,-6.2801999194,-4.8367,-23.90329426,-6.68670711,-6.396581388,-6.286057304,-6.451843431
1NC1,-126.114,-10.85,-14.19,-9.4520146377,-9.73782,-103.4317509,-9.007712884,-8.92481982,-8.634694099,-8.855742268
1Y6Q,-120.766,-12.45,-13.72,-10.3948245437,-9.02437,-124.0130623,-8.800480225,-8.92481982,-8.386014909,-8.703771652
1BMA,-146.197,-7.8,-7.96,-10.6440165597,-5.62703,-69.37717743,-10.26492434,-9.242576563,-9.601779838,-9.698488412
1ELA,-155.059,-9.19,-10.29,-9.3290042364,-7.97656,-95.25924584,-10.27873986,-8.966266352,-9.049159415,-9.435993711
1ELB,-101.676,-4.23,-4.26,-9.3741468777,-5.41564,-50.7706144,-9.214945542,-7.695239381,-7.957734081,-8.289306335
1A69,-103.264,-7.83,-7.39,-7.4598496374,-8.67085,-75.79691323,-8.303121845,-7.943918571,-7.819578976,-8.026811634
1K9S,-109.355,-9.69,-9.8,-6.9796796429,-7.74503,-68.71206359,-8.455092461,-8.040627145,-7.943918571,-8.151151229
1PR5,-97.633,-7.52,-5.78,-7.3422105172,-7.32368,-42.23614904,-8.040627145,-7.847209997,-7.750501423,-7.888656529
3PCE,-57.868,-5.69,-5.64,-5.9709600149,-5.03956,-35.8965943,-7.142618958,-7.087356916,-7.142618958,-7.128803448
3PCH,-54.646,-8.96,-8.04,-6.7665503899,-5.43423,-51.02221295,-8.192597761,-7.377482638,-7.391298149,-7.653792849
3PCJ,-46.519,-6.96,-6.87,-7.6862140127,-5.48746,-28.10982038,-7.280774064,-6.907755279,-6.645260578,-6.949201811
1FLR,-118.613,-10.94,-7.07,-9.4869374726,-11.33178,-86.09718835,-11.13530151,-10.08532271,-9.615595348,-10.27873986
1PZ5,-169.142,-11.5,-9.23,-10.6097166743,-6.22445,-103.1876988,-8.634694099,-8.883373289,-8.468907972,-8.66232512
2CGR,-115.136,-7.71,-6.62,-9.3816340952,-8.74892,-84.96148968,-9.712303922,-9.145867989,-9.118236968,-9.325469627
10GS,-135.583,-8.88,-9.85,-9.9318219187,-7.37179,-104.4833583,-10.54123456,-9.284023095,-8.869557778,-9.560333306
2GSS,-63.663,-5.47,-5.4,-7.1740436056,-5.31473,-61.43647037,-8.192597761,-7.253143043,-7.211696511,-7.557084275
3GSS,-134.005,-9.44,-7.64,-9.0053051654,-6.67242,-106.9070035,-9.712303922,-8.828111247,-8.455092461,-9.007712884
2STD,-100.408,-7.92,-9.62,-9.4886833053,-9.82733,-112.8773608,-10.23729332,-9.505071264,-9.40836269,-9.712303922
3STD,-137.294,-11.92,-10.05,-9.8356118579,-12.68896,-105.5356381,-12.4339595,-12.24054235,-10.78991375,-11.82607704
6STD,-108.715,-8.6,-9.9,-9.4343031531,-9.96861,-127.5659521,-10.22347781,-9.491255753,-9.463624732,-9.726119433
1JAQ,-107.804,-6.66,-8.42,-7.5769191513,-6.18182,-48.7993609,-8.441276951,-7.529453254,-7.722870402,-7.902472039
1ZS0,-145.511,-7.64,-7.12,-8.8057206986,-7.01327,-45.07861846,-9.021528394,-9.021528394,-8.814295736,-8.952450842
1ZVX,-154.772,-7.87,-7.36,-9.0037226354,-6.76462,-38.4843865,-9.477440243,-9.090605947,-9.021528394,-9.201130032
1DHI,-120.035,-10.64,-10.84,-9.6625165486,-8.24977,-89.25902081,-9.394547179,-8.841926757,-8.386014909,-8.869557778
2D0K,-120.938,-8.04,-7.36,-9.1665082187,-7.98202,-90.2989735,-9.256392074,-8.648509609,-8.16496674,-8.689956141
2DRC,-130.468,-10.35,-10.72,-9.7038029774,-8.65519,-105.5106274,-9.587964327,-9.035343905,-8.579432056,-9.062974926
1DF8,-103.045,-9.93,-8.83,-8.8004221584,-6.6856,-87.02658536,-8.054442655,-7.943918571,-7.598530807,-7.874841018
1SLG,-109.76,-9.18,-9.54,-9.2183643226,-5.08363,-73.72724724,-8.634694099,-7.695239381,-6.976832832,-7.764316934
2F01,-107.128,-12.69,-14.71,-8.8590625264,-6.77606,-105.956253,-8.386014909,-8.109704698,-7.847209997,-8.109704698
1O0H,-93.428,-7.36,-6.87,-6.78365329,-6.09239,-70.39326378,-7.791947955,-7.405113659,-7.225512022,-7.474191212
1U1B,-191.585,-10.68,-12.35,-8.7699746571,-8.5394,-80.56865234,-9.809012496,-9.463624732,-9.228761053,-9.505071264
2G8R,-83.339,-4.32,-2.89,-7.0634978963,-5.0748,-20.41174295,-7.045910385,-6.976832832,-6.866308747,-6.963017321
1HI4,-99.291,-8.66,-9.55,-7.7398061084,-6.82675,-71.75102108,-8.082073676,-7.66760836,-7.529453254,-7.764316934
2BZZ,-164.309,-10.32,-14.22,-8.9247647887,-8.05224,-99.03988534,-9.366916158,-9.256392074,-8.759033694,-9.132052479
2C02,-83.688,-7.89,-8.76,-7.6871140185,-6.20367,-46.21760402,-7.805763465,-7.501822233,-7.294589575,-7.529453254
1E5A,-16.733,-2.19,-0.87,-4.9220797442,-2.25156,-22.81591296,-7.225512022,-5.595281776,-6.009747093,-6.272241793
1TYR,-64.602,-3.05,-2.25,-6.4461941646,-4.54842,-52.27306824,-8.123520208,-7.239327532,-7.474191212,-7.612346317
2G5U,-36.173,-3.77,-1.75,-5.8811707919,-3.53042,-42.51767218,-8.537985525,-6.341319346,-6.43802792,-7.101172427
1JQ9,-163.314,-7.4,-6.62,-9.0161154065,-6.29493,-61.6199629,-10.0715072,-8.841926757,-8.565616546,-9.1596835
1Q7A,-108.963,-4.41,-4.28,-8.3998424281,-7.86452,-43.30249402,-9.463624732,-8.800480225,-8.91100431,-9.062974926
1SV3,-56.699,-6.08,-4.63,-6.8142040261,-4.95407,-11.86314076,-7.363667127,-6.783415684,-6.631445068,-6.92157079
1A08,-126.178,-8.27,-10.94,-8.9648743762,-4.22348,-79.65297113,-8.620878588,-7.66760836,-7.41892917,-7.902472039
1A1B,-123.594,-7.96,-11.02,-8.7516456546,-4.66979,-78.14699096,-8.814295736,-7.819578976,-7.695239381,-8.109704698
1IS0,-140.462,-10.31,-12.47,-8.2728843521,-5.39298,-96.21854697,-8.938635331,-8.772849204,-8.67614063,-8.786664715
1A30,-116.025,-9.53,-10.17,-8.285747865,-6.57445,-74.43135839,-8.344568377,-8.17878225,-7.971549592,-8.16496674
2F80,-192.152,-11.58,-12.15,-11.5584598358,-9.24921,-147.9718588,-11.48068927,-10.48597251,-10.3340019,-10.76228272
2I0D,-208.588,-12.25,-10.78,-13.6185778232,-8.79553,-139.6539587,-11.37016519,-10.51360353,-10.41689496,-10.76228272
1D7J,-36.014,-5.01,-4.68,-5.9430364858,-3.16168,-36.46609653,-5.982116072,-6.065009135,-6.009747093,-6.023562603
1FKB,-170.998,-9.2,-10.55,-8.1768034755,-10.60521,-124.3510566,-13.05565748,-10.22347781,-10.14058475,-11.13530151
1FKI,-114.271,-7.61,-7.23,-8.9185402704,-11.45228,-92.70442396,-10.66557415,-9.214945542,-9.118236968,-9.670857391
1DET,-85.945,-9.33,-10.21,-7.8494286191,-5.94258,-43.31456544,-7.584715296,-7.17024998,-7.059725895,-7.266958553
1RNT,-112.151,-11.62,-14.52,-7.6592534585,-6.98398,-64.94944686,-8.565616546,-7.91628755,-7.888656529,-8.123520208
6RNT,-82.818,-7.01,-7.3,-7.3148012718,-6.0455,-51.55364195,-7.557084275,-7.114987937,-7.004463853,-7.225512022
